Shipment_Date,Manufacturer,Destination,Units
2024-06-01,GAC Motors,United Arab Emirates,120
2024-07-01,GAC Motors,United Arab Emirates,150
2024-08-01,GAC Motors,United Arab Emirates,130
2024-09-01,GAC Motors,United Arab Emirates,160
2024-10-01,GAC Motors,United Arab Emirates,180
2024-11-01,GAC Motors,United Arab Emirates,200
2024-12-01,GAC Motors,United Arab Emirates,240
2025-01-01,GAC Motors,United Arab Emirates,220
2025-02-01,GAC Motors,United Arab Emirates,210
2025-03-01,GAC Motors,United Arab Emirates,230
2025-04-01,GAC Motors,United Arab Emirates,250
2025-05-01,GAC Motors,United Arab Emirates,260
2025-06-01,GAC Motors,United Arab Emirates,270
2025-07-01,GAC Motors,United Arab Emirates,290
2025-08-01,GAC Motors,United Arab Emirates,300
2025-09-01,GAC Motors,United Arab Emirates,310
2025-10-01,GAC Motors,United Arab Emirates,330
2025-11-01,GAC Motors,United Arab Emirates,340
2025-12-01,GAC Motors,United Arab Emirates,360
2026-01-01,GAC Motors,United Arab Emirates,350
2026-02-01,GAC Motors,United Arab Emirates,340
2026-03-01,GAC Motors,United Arab Emirates,360
2026-04-01,GAC Motors,United Arab Emirates,370
2026-05-01,GAC Motors,United Arab Emirates,380
2026-06-01,GAC Motors,United Arab Emirates,390
